nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.400000000E-01, 5.999999898E-02, 4.229660249E-07
         2, 2.398383746E-01, 6.000000016E-02, 3.984091955E-02
         3, 2.396767796E-01, 6.000000010E-02, 1.188318025E-01
         4, 2.395151580E-01, 6.000000073E-02, 1.630046405E-01
         5, 2.393535271E-01, 5.999999886E-02, 2.098224061E-01
         6, 2.391919235E-01, 6.000000206E-02, 2.912509665E-01
         7, 2.390303017E-01, 6.000000073E-02, 3.726795092E-01
         8, 2.388686852E-01, 6.000000073E-02, 4.541080641E-01
         9, 2.387070788E-01, 6.000000330E-02, 5.407490321E-01
        10, 2.385454591E-01, 6.000000296E-02, 6.691321805E-01
        11, 2.383838468E-01, 6.000000073E-02, 7.975034490E-01
        12, 2.382222267E-01, 6.000000028E-02, 9.258866161E-01
        13, 2.380606101E-01, 6.000000073E-02, 1.054269791E+00
        14, 2.378989901E-01, 6.000000028E-02, 1.182652932E+00
        15, 2.377373735E-01, 6.000000073E-02, 1.311036028E+00
        16, 2.375757485E-01, 5.999999905E-02, 1.439419176E+00
        17, 2.374141307E-01, 5.999999919E-02, 1.556852561E+00
        18, 2.372525118E-01, 5.999999905E-02, 1.627918497E+00
        19, 2.370909133E-01, 6.000000028E-02, 1.698977940E+00
        20, 2.369292976E-01, 6.000000095E-02, 1.770043895E+00
        21, 2.367676784E-01, 6.000000073E-02, 1.841109812E+00
        22, 2.366060583E-01, 6.000000028E-02, 1.912175715E+00
        23, 2.364444400E-01, 6.000000028E-02, 1.983241677E+00
        24, 2.362828234E-01, 6.000000073E-02, 2.054307669E+00
        25, 2.361212050E-01, 6.000000073E-02, 2.125373632E+00
        26, 2.359595868E-01, 6.000000073E-02, 2.196439475E+00
        27, 2.357979815E-01, 6.000000029E-02, 2.267498955E+00
        28, 2.356363596E-01, 5.999999939E-02, 2.338564813E+00
        29, 2.354747483E-01, 6.000000117E-02, 2.409630850E+00
        30, 2.353131291E-01, 6.000000095E-02, 2.480696790E+00
        31, 2.351515116E-01, 6.000000117E-02, 2.551762722E+00
        32, 2.349898920E-01, 6.000000084E-02, 2.622828640E+00
        33, 2.348282756E-01, 6.000000131E-02, 2.666458759E+00
        34, 2.346666593E-01, 6.000000185E-02, 2.659381412E+00
        35, 2.345050533E-01, 6.000000117E-02, 2.652304642E+00
        36, 2.343434324E-01, 6.000000050E-02, 2.645227402E+00
        37, 2.341818114E-01, 5.999999984E-02, 2.638150051E+00
        38, 2.340201949E-01, 6.000000028E-02, 2.631072775E+00
        39, 2.338585731E-01, 5.999999939E-02, 2.623995394E+00
        40, 2.336969601E-01, 6.000000073E-02, 2.616918176E+00
        41, 2.335353417E-01, 6.000000073E-02, 2.609840900E+00
        42, 2.333737235E-01, 6.000000073E-02, 2.602763623E+00
        43, 2.332121199E-01, 6.000000073E-02, 2.595686942E+00
        44, 2.330505017E-01, 6.000000073E-02, 2.588609636E+00
        45, 2.328888816E-01, 6.000000029E-02, 2.581532240E+00
        46, 2.327272617E-01, 5.999999984E-02, 2.574454978E+00
        47, 2.325656416E-01, 5.999999939E-02, 2.567377642E+00
        48, 2.324040294E-01, 6.000000094E-02, 2.560300440E+00
        49, 2.322424110E-01, 6.000000095E-02, 2.553223096E+00
        50, 2.320807852E-01, 5.999999900E-02, 2.546145707E+00
        51, 2.319191898E-01, 6.000000098E-02, 2.529252628E+00
        52, 2.317575688E-01, 6.000000008E-02, 2.499565434E+00
        53, 2.315959539E-01, 6.000000073E-02, 2.469878159E+00
        54, 2.314343304E-01, 5.999999918E-02, 2.440190919E+00
        55, 2.312727207E-01, 6.000000118E-02, 2.410503730E+00
        56, 2.311111031E-01, 6.000000117E-02, 2.380816549E+00
        57, 2.309494823E-01, 6.000000028E-02, 2.351129279E+00
        58, 2.307878665E-01, 6.000000073E-02, 2.321442097E+00
        59, 2.306262490E-01, 6.000000073E-02, 2.291754842E+00
        60, 2.304646465E-01, 6.000000073E-02, 2.262070358E+00
        61, 2.303030289E-01, 6.000000073E-02, 2.232383102E+00
        62, 2.301414115E-01, 6.000000073E-02, 2.202695876E+00
        63, 2.299797923E-01, 6.000000028E-02, 2.173008695E+00
        64, 2.298181799E-01, 6.000000162E-02, 2.143321499E+00
        65, 2.296565548E-01, 5.999999961E-02, 2.113634199E+00
        66, 2.294949348E-01, 5.999999894E-02, 2.083946936E+00
        67, 2.293333250E-01, 6.000000095E-02, 2.054259844E+00
        68, 2.291717150E-01, 5.999999899E-02, 2.024575230E+00
        69, 2.290100992E-01, 5.999999955E-02, 1.996956019E+00
        70, 2.288484828E-01, 6.000000007E-02, 1.971267045E+00
        71, 2.286868722E-01, 6.000000206E-02, 1.945578068E+00
        72, 2.285252530E-01, 6.000000184E-02, 1.919888951E+00
        73, 2.283636321E-01, 6.000000117E-02, 1.894199900E+00
        74, 2.282020138E-01, 6.000000118E-02, 1.868510872E+00
        75, 2.280403955E-01, 6.000000118E-02, 1.842821792E+00
        76, 2.278787905E-01, 6.000000073E-02, 1.817135125E+00
        77, 2.277171721E-01, 6.000000073E-02, 1.791446075E+00
        78, 2.275555539E-01, 6.000000073E-02, 1.765757024E+00
        79, 2.273939355E-01, 6.000000073E-02, 1.740067989E+00
        80, 2.272323207E-01, 6.000000162E-02, 1.714378953E+00
        81, 2.270706989E-01, 6.000000073E-02, 1.688689873E+00
        82, 2.269090788E-01, 6.000000028E-02, 1.663000822E+00
        83, 2.267474707E-01, 6.000000296E-02, 1.637311801E+00
        84, 2.265858530E-01, 5.999999916E-02, 1.611625023E+00
        85, 2.264242347E-01, 5.999999917E-02, 1.585935984E+00
        86, 2.262626226E-01, 6.000000078E-02, 1.560246971E+00
        87, 2.261010042E-01, 6.000000079E-02, 1.537898539E+00
        88, 2.259393810E-01, 5.999999949E-02, 1.517773278E+00
        89, 2.257777648E-01, 6.000000006E-02, 1.497648045E+00
        90, 2.256161431E-01, 5.999999918E-02, 1.477522872E+00
        91, 2.254545341E-01, 6.000000162E-02, 1.457397714E+00
        92, 2.252929257E-01, 6.000000029E-02, 1.437274329E+00
        93, 2.251313107E-01, 6.000000118E-02, 1.417149127E+00
        94, 2.249696907E-01, 6.000000073E-02, 1.397023946E+00
        95, 2.248080725E-01, 6.000000073E-02, 1.376898751E+00
        96, 2.246464540E-01, 6.000000073E-02, 1.356773525E+00
        97, 2.244848358E-01, 6.000000073E-02, 1.336648330E+00
        98, 2.243232191E-01, 6.000000118E-02, 1.316523120E+00
        99, 2.241616026E-01, 6.000000162E-02, 1.296397969E+00
       100, 2.239999907E-01, 5.999999939E-02, 1.276274562E+00
